Sr. Number,Anchor tag Name,link
1,,/
2,,/
3,About,https://www.youtube.com/about/
4,Press,https://www.youtube.com/about/press/
5,Copyright,https://www.youtube.com/about/copyright/
6,Contact us,/t/contact_us/
7,Creator,https://www.youtube.com/creators/
8,Advertise,https://www.youtube.com/ads/
9,Developers,https://developers.google.com/youtube
10,Terms,/t/terms
11,Privacy,/t/privacy
12,Policy & Safety,https://www.youtube.com/about/policies/
13,How YouTube works,https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen
14,Test new features,/new
